url,language,paragraph
https://nl.wikipedia.org/wiki/Guy_Verhofstadt,nl,"Guy Maurice Marie-Louise Verhofstadt (uitspraakⓘ) (Dendermonde,11 april1953) is een Belgischpoliticusvoor de Open Vlaamse Liberalen en Democraten(Open Vld). Hij waspremier van Belgiëvan 12 juli 1999 tot 20 maart 2008 in drie regeringen. Hij beëindigde zijn actieve politieke carrière in het Europees Parlement, waar hij van 2009 tot 2019 fractieleider van de Alliantie van Liberalen en Democraten voor Europa(ALDE) was."
https://nl.wikipedia.org/wiki/Yves_Leterme,nl,"Yves Camille Désiré Leterme(Wervik,6 oktober1960) is een voormalig Belgischpoliticus. Hij was onder meer Vlaams minister-presidentenpremier van België. Hij was lang boegbeeld van de CD&Ven boegbeeld van het toenmalige kartel CD&V/N-VA."
https://nl.wikipedia.org/wiki/Herman_Van_Rompuy,nl,"Herman Achille graaf Van Rompuy(Etterbeek,31 oktober1947) is een Belgischepoliticus van de christendemocratische partij CD&V. Hij was tussen 30 december 2008 en 25 november 2009 depremier van Belgiëen van 1 januari 2010 tot en met 30 november 2014 voorzitter van de Europese Raad, in de media vaak incorrect 'president van Europa' genoemd. Op 19 november 2009 werd bekendgemaakt dat hij was verkozen tot de eerste permanente voorzitter en op 1 maart 2012 werd Van Rompuy met algemene stemmen door de 27 staatshoofden en regeringsleiders van de EU voor een tweede mandaat benoemd. Na deze termijn was hij niet meer herkiesbaar."
https://nl.wikipedia.org/wiki/L%C3%A9on_Delacroix,nl,"Léon Fréderic Gustave Delacroix(Sint-Joost-ten-Node,27 december1867–Baden-Baden,15 oktober1929) was een Belgischkatholiekpoliticus. Van 1918 tot 1920 was hijpremier van België."
https://nl.wikipedia.org/wiki/Henri_Carton_de_Wiart,nl,"Henri Victor Marie Ghislain Carton de Wiart(Brussel,31 januari1869–Ukkel,6 mei1951) (ook als ""Henry"" vermeld) was een Belgischepoliticus. Hij waspremiervan 1920 tot 1921."
https://nl.wikipedia.org/wiki/Georges_Theunis,nl,"Georges Emile Pierre Léonard Theunis(Montegnée,28 februari1873–Brussel,4 januari1966) was een Belgischindustrieelenpoliticusvan de Katholieke Partij."
https://nl.wikipedia.org/wiki/Aloys_Van_de_Vyvere,nl,"Aloys Jean Maria Joseph Van de Vyvere(Tielt,8 juni1871-Parijs,22 oktober1961) was een Belgischkatholiekvolksvertegenwoordigerenminister."
https://nl.wikipedia.org/wiki/Prosper_Poullet,nl,"Prosper Antoine Marie Joseph burggraaf Poullet(Leuven,5 maart1868-3 december1937) was een Belgischpoliticus."
https://nl.wikipedia.org/wiki/Henri_Jaspar,nl,"Henri Jaspar(Schaarbeek,28 juli1870-Sint-Gillis,15 februari1939 ) was een Belgischkatholiekpoliticus, die twee keer premier van België was."
https://nl.wikipedia.org/wiki/Jules_Renkin,nl,"Jules Laurent Jean Louis Renkin(Elsene,3 december1862-Brussel,15 juli1934) was een Belgischkatholiekpoliticus."
